date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:44	62303/62303	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202013%2007:39:45%20GMT	http://clinalpsud.fr/2013/02/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/2013/02/index.html	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:45	740/740	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/about/presentation/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/about/presentation/feed/index.html	(from http://clinalpsud.fr/about/presentation/)
09:39:46	746/746	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/about/nous-contacter/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/about/nous-contacter/feed/index.html	(from http://clinalpsud.fr/about/nous-contacter/)
09:39:47	83002/83002	---M--	200	added ('OK')	image/jpeg	etag:%221d19099-1443a-4d14c4d387242%22	http://clinalpsud.fr/wp-content/uploads/2012/12/07.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/07.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:48	739/739	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/about/emplois/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/about/emplois/feed/index.html	(from http://clinalpsud.fr/about/emplois/)
09:39:52	44755/44755	---M--	200	added ('OK')	image/jpeg	etag:%22142dab2-aed3-4d0b82be566fc%22	http://clinalpsud.fr/wp-content/uploads/2012/12/plan_rdc.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/plan_rdc.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:52	41523/41523	---M--	200	added ('OK')	image/jpeg	etag:%22148026e-a233-4d0b82e3a8b8c%22	http://clinalpsud.fr/wp-content/uploads/2012/12/plan_1etage.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/plan_1etage.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:53	749/749	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/about/nos-ppartenaires/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/about/nos-ppartenaires/feed/index.html	(from http://clinalpsud.fr/about/nos-ppartenaires/)
09:39:53	36340/36340	---M--	200	added ('OK')	image/jpeg	etag:%22148059f-8df4-4d0b8308bd980%22	http://clinalpsud.fr/wp-content/uploads/2012/12/plan_2etage.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/plan_2etage.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:54	738/738	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/plans-dacces/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/plans-dacces/feed/index.html	(from http://clinalpsud.fr/plans-dacces/)
09:39:55	730/730	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/votre-sejour/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/votre-sejour/feed/index.html	(from http://clinalpsud.fr/votre-sejour/)
09:40:07	176475/176475	---M--	200	added ('OK')	image/jpeg	etag:%2212a33e1-2b15b-4d0b81e228649%22	http://clinalpsud.fr/wp-content/uploads/2012/12/plan_acces.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/plan_acces.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:18	153258/153258	---M--	200	added ('OK')	application/pdf	etag:%222ea441c-256aa-4d78355a4dbb1%22	http://clinalpsud.fr/pdf/questionnaire_satisfaction_ambu.pdf	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/pdf/questionnaire_satisfaction_ambu.pdf	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
